--- Pendolo di torsione ---
Tempo.Forzante.Pendolo.Ampiezza.Fase
4.680	8.032	-0.076	0.177	-81.991
4.700	12.605	-0.076	0.177	-81.776
4.720	17.001	-0.070	0.177	-81.616
4.740	21.130	-0.065	0.177	-81.514
4.760	24.965	-0.057	0.177	-81.471
4.780	28.485	-0.046	0.177	-81.490
4.800	31.514	-0.039	0.177	-81.576
4.820	34.118	-0.025	0.177	-81.712
4.840	36.210	-0.015	0.177	-81.895
4.860	37.810	-0.005	0.177	-82.111
4.880	38.842	0.008	0.177	-82.347
4.900	39.320	0.019	0.177	-82.590
4.920	39.238	0.031	0.177	-82.825
4.940	38.575	0.041	0.177	-83.040
4.960	37.386	0.052	0.177	-83.226
4.980	35.643	0.065	0.177	-83.363
5.000	33.394	0.075	0.177	-83.458
5.020	30.666	0.082	0.177	-83.489
5.040	27.467	0.094	0.177	-83.473
5.060	23.885	0.096	0.177	-83.386
5.080	19.961	0.107	0.188	-83.272
5.100	15.736	0.113	0.193	-83.093
5.120	11.307	0.118	0.198	-82.893
5.140	6.706	0.118	0.198	-82.671
5.160	2.030	0.118	0.198	-82.455
5.180	-2.721	0.114	0.198	-82.240
5.200	-7.376	0.113	0.198	-82.059
5.220	-11.997	0.110	0.198	-81.896
5.240	-16.365	0.107	0.198	-81.795
5.260	-20.521	0.097	0.198	-81.717
5.280	-24.397	0.090	0.198	-81.712
5.300	-27.904	0.080	0.198	-81.751
5.320	-30.980	0.073	0.198	-81.844
5.340	-33.633	0.058	0.198	-81.978
5.360	-35.793	0.047	0.198	-82.151
5.380	-37.427	0.035	0.198	-82.348
5.400	-38.479	0.020	0.198	-82.556
5.420	-38.972	0.007	0.198	-82.762
5.440	-38.958	-0.003	0.198	-82.951
5.460	-38.363	-0.016	0.198	-83.115
5.480	-37.201	-0.027	0.198	-83.236
5.500	-35.472	-0.041	0.198	-83.309
5.520	-33.223	-0.051	0.198	-83.321
5.540	-30.502	-0.061	0.198	-83.273
5.560	-27.371	-0.075	0.198	-83.169
5.580	-23.775	-0.078	0.198	-82.987
5.600	-19.865	-0.085	0.203	-82.768
5.620	-15.661	-0.087	0.205	-82.501
5.640	-11.218	-0.096	0.214	-81.895
5.660	-6.604	-0.095	0.214	-81.895
5.680	-1.900	-0.098	0.216	-81.588
5.700	2.823	-0.095	0.216	-81.275
5.720	7.520	-0.094	0.216	-80.997
5.740	12.093	-0.084	0.216	-80.752
5.760	16.522	-0.080	0.216	-80.569
5.780	20.686	-0.075	0.216	-80.429
5.800	24.541	-0.066	0.216	-80.354
5.820	28.096	-0.055	0.216	-80.339
5.840	31.186	-0.046	0.216	-80.380
5.860	33.845	-0.031	0.216	-80.476
5.880	36.005	-0.019	0.216	-80.618
5.900	37.659	-0.002	0.216	-80.794
5.920	38.746	0.009	0.216	-80.992
5.940	39.286	0.019	0.216	-81.198
5.960	39.272	0.036	0.216	-81.400
5.980	38.705	0.048	0.216	-81.582
6.000	37.543	0.062	0.216	-81.733
6.020	35.868	0.077	0.216	-81.843
6.040	33.660	0.086	0.216	-81.904
6.060	31.015	0.097	0.216	-81.912
6.080	27.836	0.106	0.216	-81.875
6.100	24.309	0.114	0.216	-81.782
6.120	20.419	0.121	0.219	-81.651
6.140	16.215	0.131	0.229	-81.479
6.160	11.826	0.129	0.229	-81.278
6.180	7.246	0.131	0.230	-81.069
6.200	2.550	0.132	0.230	-80.868
6.220	-2.181	0.132	0.230	-80.671
6.240	-6.870	0.122	0.230	-80.506
6.260	-11.478	0.122	0.230	-80.382
6.280	-15.894	0.111	0.230	-80.298
6.300	-20.070	0.108	0.230	-80.269
6.320	-23.987	0.097	0.230	-80.297
6.340	-27.549	0.092	0.230	-80.381
6.360	-30.687	0.074	0.230	-80.516
6.380	-33.394	0.061	0.230	-80.702
6.400	-35.615	0.049	0.230	-80.927
6.420	-37.276	0.032	0.230	-81.180
6.440	-38.452	0.015	0.230	-81.448
6.460	-38.979	0.004	0.230	-81.717
6.480	-39.020	-0.014	0.230	-81.974
6.500	-38.514	-0.024	0.230	-82.204
6.520	-37.406	-0.035	0.230	-82.397
6.540	-35.759	-0.051	0.230	-82.542
6.560	-33.578	-0.064	0.230	-82.634
6.580	-30.898	-0.078	0.230	-82.660
6.600	-27.795	-0.086	0.230	-82.628
6.620	-24.240	-0.093	0.230	-82.532
6.640	-20.357	-0.105	0.237	-82.395
6.660	-16.208	-0.106	0.238	-82.199
6.680	-11.751	-0.109	0.242	-81.980
6.700	-7.157	-0.109	0.242	-81.735
6.720	-2.454	-0.109	0.242	-81.495
6.740	2.276	-0.110	0.243	-81.255
6.760	6.986	-0.106	0.243	-81.035
6.780	11.573	-0.105	0.243	-80.847
6.800	16.010	-0.101	0.243	-80.697
6.820	20.207	-0.089	0.243	-80.587
6.840	24.110	-0.078	0.243	-80.537
6.860	27.706	-0.070	0.243	-80.542
6.880	30.864	-0.058	0.243	-80.600
6.900	33.558	-0.043	0.243	-80.705
6.920	35.786	-0.029	0.243	-80.851
6.940	37.502	-0.016	0.243	-81.026
6.960	38.650	-0.001	0.243	-81.218
6.980	39.266	0.015	0.243	-81.414
7.000	39.307	0.033	0.243	-81.600
7.020	38.787	0.048	0.243	-81.764
7.040	37.700	0.061	0.243	-81.893
7.060	36.087	0.073	0.243	-81.976
7.080	33.927	0.087	0.243	-82.009
7.100	31.329	0.104	0.243	-81.986
7.120	28.212	0.107	0.243	-81.905
7.140	24.726	0.123	0.243	-81.773
7.160	20.877	0.125	0.243	-81.594
7.180	16.687	0.138	0.248	-81.383
7.200	12.305	0.133	0.248	-81.138
7.220	7.752	0.140	0.250	-80.890
7.240	3.076	0.137	0.250	-80.636
7.260	-1.654	0.137	0.250	-80.399
7.280	-6.378	0.127	0.250	-80.180
7.300	-11.006	0.130	0.250	-80.009
7.320	-15.422	0.118	0.250	-79.874
7.340	-19.633	0.118	0.250	-79.800
